murcko_scaffold,n_compounds,observed_mean,observed_median,observed_std,predicted_mean,predicted_median,prediction_error,absolute_error,scaffold_id
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3,0.8670865766666666,0.89443463,0.05730289331495079,0.8444518666666667,0.8329443,-0.022634709999999836,0.022634709999999836,Scaffold Q
C=C1CCCCC1=CC=C1CCCC2CCCC12,5,0.8192908899999999,0.8198536,0.03496003686915965,0.8344367180000001,0.83200836,0.015145828000000194,0.015145828000000194,Scaffold E
O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccs1,3,0.7775234866666666,0.7822677,0.11389580987962865,0.8112985533333333,0.8262413,0.03377506666666674,0.03377506666666674,Scaffold W
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,6,0.8605294516666667,0.862559585,0.035161300169447914,0.8295282949999999,0.8275504,-0.031001156666666807,0.031001156666666807,Scaffold D
O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,3,0.9873702999999999,0.9876737,0.008478272483825992,0.9225321833333333,0.92377836,-0.06483811666666661,0.06483811666666661,Scaffold J
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,3,0.85425408,0.8747673,0.06721449178581355,0.8475889766666667,0.84003496,-0.0066651033333333665,0.0066651033333333665,Scaffold T
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,13,0.8515566384615384,0.8323172,0.05912792910599385,0.8548021638461538,0.85174733,0.003245525384615422,0.003245525384615422,Scaffold B
O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,3,0.8943371066666667,0.90203506,0.01936437892984258,0.8923890366666667,0.88977706,-0.0019480699999999684,0.0019480699999999684,Scaffold M
O=C1CCOC2CCC3CCCCC3C12,3,0.8208072666666667,0.8502553,0.10566793841304624,0.8595995466666667,0.8725786,0.03879228000000001,0.03879228000000001,Scaffold V
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,4,0.9506554,0.9516199999999999,0.03251037497671578,0.9135287325,0.9122236850000001,-0.03712666750000004,0.03712666750000004,Scaffold G
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,7,0.9673130142857144,0.9721764,0.02503899085530928,0.94834002,0.9563592,-0.018972994285714417,0.018972994285714417,Scaffold C
O=c1ncccn1C1CCCO1,4,0.88610569,0.87908425,0.040509948095569466,0.851698035,0.850858525,-0.03440765499999998,0.03440765499999998,Scaffold H
c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,3,0.9430614566666667,0.95493567,0.021223186386983325,0.8572895966666666,0.85822886,-0.08577186000000014,0.08577186000000014,Scaffold K
c1ccc(Nc2ncnc3ccccc23)cc1,3,0.8224725733333335,0.81559074,0.03417227881812001,0.8123638999999999,0.8057674,-0.01010867333333354,0.01010867333333354,Scaffold U
c1ccc2[nH]cnc2c1,3,0.8910260666666666,0.9026363,0.03462566823706561,0.8016481999999999,0.8149554,-0.0893778666666667,0.0893778666666667,Scaffold O
c1ccc2c(c1)CCC1C2CCC2CCCC21,3,0.89402005,0.9070566,0.036319929478421414,0.8439861533333333,0.8425499,-0.05003389666666669,0.05003389666666669,Scaffold N
c1ccc2c(c1)Nc1ccccc1S2,3,0.86579222,0.85869986,0.06295653720001762,0.8263389999999999,0.8290256,-0.03945322000000007,0.03945322000000007,Scaffold R
c1ccccc1,32,0.791077304375,0.7980487199999999,0.09194605313949655,0.792064706875,0.786284745,0.0009874024999999564,0.0009874024999999564,Scaffold A
c1ncc2ncn(C3CCCO3)c2n1,5,0.809487032,0.8292305,0.08488019255960794,0.8164466779999999,0.8133995,0.006959645999999875,0.006959645999999875,Scaffold F
